?value	?property	?lang	?langVar
"10"	"numeralGloss"	"beja"	"hadendowa"
"100"	"numeralGloss"	"beja"	"hadendowa"
"1000"	"numeralGloss"	"beja"	"hadendowa"
"11"	"numeralGloss"	"beja"	"hadendowa"
"110"	"numeralGloss"	"beja"	"hadendowa"
"12"	"numeralGloss"	"beja"	"hadendowa"
"13"	"numeralGloss"	"beja"	"hadendowa"
"14"	"numeralGloss"	"beja"	"hadendowa"
"15"	"numeralGloss"	"beja"	"hadendowa"
"16"	"numeralGloss"	"beja"	"hadendowa"
"17"	"numeralGloss"	"beja"	"hadendowa"
"18"	"numeralGloss"	"beja"	"hadendowa"
"19"	"numeralGloss"	"beja"	"hadendowa"
"20"	"numeralGloss"	"beja"	"hadendowa"
"200"	"numeralGloss"	"beja"	"hadendowa"
"2000"	"numeralGloss"	"beja"	"hadendowa"
"21"	"numeralGloss"	"beja"	"hadendowa"
"22"	"numeralGloss"	"beja"	"hadendowa"
"23"	"numeralGloss"	"beja"	"hadendowa"
"24"	"numeralGloss"	"beja"	"hadendowa"
"25"	"numeralGloss"	"beja"	"hadendowa"
"26"	"numeralGloss"	"beja"	"hadendowa"
"27"	"numeralGloss"	"beja"	"hadendowa"
"28"	"numeralGloss"	"beja"	"hadendowa"
"29"	"numeralGloss"	"beja"	"hadendowa"
"30"	"numeralGloss"	"beja"	"hadendowa"
"300"	"numeralGloss"	"beja"	"hadendowa"
"31"	"numeralGloss"	"beja"	"hadendowa"
"32"	"numeralGloss"	"beja"	"hadendowa"
"4"	"numeralGloss"	"beja"	"hadendowa"
"40"	"numeralGloss"	"beja"	"hadendowa"
"5"	"numeralGloss"	"beja"	"hadendowa"
"50"	"numeralGloss"	"beja"	"hadendowa"
"6"	"numeralGloss"	"beja"	"hadendowa"
"60"	"numeralGloss"	"beja"	"hadendowa"
"7"	"numeralGloss"	"beja"	"hadendowa"
"70"	"numeralGloss"	"beja"	"hadendowa"
"8"	"numeralGloss"	"beja"	"hadendowa"
"80"	"numeralGloss"	"beja"	"hadendowa"
"9"	"numeralGloss"	"beja"	"hadendowa"
"90"	"numeralGloss"	"beja"	"hadendowa"
"A"	"passiveReciprocalClass"	"sidaama"	
"A"	"pluralClass"	"beja"	"arteiga"
"A"	"pngShapeClass"	"dhaasanac"	
"A"	"postpositionClass"	"beja"	"arteiga"
"A"	"stemClass"	"geez"	
"A"	"synEnv"	"elmolo"	
"A1"	"stemClass"	"geez"	
"A2"	"stemClass"	"geez"	
"ACC"	"rootClass"	"hebrew"	
"B"	"dervStem"	"akkadian"	"OB"
"B"	"dervStem"	"beja"	"arteiga"
"B"	"dervStem"	"geez"	
"B"	"dervStem"	"hebrew"	
"B"	"dervStem"	"saho"	
"B"	"passiveReciprocalClass"	"sidaama"	
"B"	"pluralClass"	"beja"	"arteiga"
"B"	"pngShapeClass"	"dhaasanac"	
"B"	"postpositionClass"	"beja"	"arteiga"
"B"	"synEnv"	"elmolo"	
"B-Freq"	"dervStem"	"beja"	"hadendowa"
"B-Intens"	"dervStem"	"beja"	"hadendowa"
"B-Intens"	"dervStem"	"saho"	
"B-Redup"	"dervStem"	"beja"	"hadendowa"
"BE"	"verbMorphClass"	"maale"	
"Bt"	"dervStem"	"akkadian"	"OB"
"Btn"	"dervStem"	"akkadian"	"OB"
"C"	"final"	"elmolo"	
"C"	"pluralClass"	"beja"	"arteiga"
"C"	"rootClass"	"beja"	"bishari"
"C1"	"conjSubClass"	"somali"	"standard"
"C1"	"subConj"	"somali"	"standard"
"C1C2C2"	"rootClass"	"hebrew"	
"C2A"	"conjSubClass"	"somali"	"standard"
"C2B"	"conjSubClass"	"somali"	"standard"
"C3A"	"conjSubClass"	"somali"	"standard"
"C3B"	"conjSubClass"	"somali"	"standard"
"C3B"	"subConj"	"somali"	"standard"
"CAC"	"rootClass"	"hebrew"	
"CC"	"rootClass"	"beja"	"beniamer"
"CC"	"rootClass"	"beja"	"bishari"
"CC"	"rootClass"	"beja"	"hadendowa"
"CCA"	"rootClass"	"hebrew"	
"CCC"	"rootClass"	"akkadian"	"OB"
"CCC"	"rootClass"	"arabic"	
"CCC"	"rootClass"	"beja"	"arteiga"
"CCC"	"rootClass"	"beja"	"beniamer"
"CCC"	"rootClass"	"beja"	"bishari"
"CCC"	"rootClass"	"beja"	"hadendowa"
"CCC"	"rootClass"	"geez"	
"CCC"	"rootClass"	"hebrew"	
"CCC-a"	"rootClass"	"beja"	"bishari"
"CCC-i"	"rootClass"	"beja"	"bishari"
"CCC-u"	"rootClass"	"beja"	"bishari"
"CCW"	"rootClass"	"geez"	
"CCY"	"rootClass"	"beja"	"arteiga"
"CCY"	"rootClass"	"beja"	"beniamer"
"CCY"	"rootClass"	"beja"	"bishari"
"CCY"	"rootClass"	"geez"	
"CCa"	"rootClass"	"akkadian"	"OB"
