?langLabel	?derivedStem	?derivedStemAug	?formType	?pdgmType	?rootClass	?num	?pers	?gen	?token
"Beja-arteiga"						"Singular"	"Person1"	"Common"	"tam-àní"
"Beja-arteiga"						"Singular"	"Person2"	"Masc"	"tam-tinii-`a"
"Beja-arteiga"						"Singular"	"Person2"	"Fem"	"tam-tinii-`"
"Beja-arteiga"						"Singular"	"Person3"	"Masc"	"tam-íiní"
"Beja-arteiga"						"Singular"	"Person3"	"Fem"	"tam-tíní"
"Beja-arteiga"						"Plural"	"Person1"	"Common"	"tam-này"
"Beja-arteiga"						"Plural"	"Person2"	"Common"	"tam-teéna"
"Beja-arteiga"						"Plural"	"Person3"	"Common"	"tam-eén"
"Oromo"						"Singular"	"Person1"	"Common"	"beek-a"
"Oromo"						"Singular"	"Person2"	"Common"	"beek-ta"
"Oromo"						"Singular"	"Person3"	"Masc"	"beek-a"
"Oromo"						"Singular"	"Person3"	"Fem"	"beek-ti"
"Oromo"						"Plural"	"Person1"	"Common"	"beek-na"
"Oromo"						"Plural"	"Person2"	"Common"	"beek-tu"
"Oromo"						"Plural"	"Person3"	"Common"	"beek-u"
